geography_type,geography_code,geography_name,parent_geography,clock_basis,observation_count,mean_demand_mw,minimum_demand_mw,minimum_time_end,peak_demand_mw,peak_time_end,load_factor_mean_divided_by_peak,maximum_one_hour_increase_mw,maximum_one_hour_increase_time_end,maximum_one_hour_decrease_mw,maximum_one_hour_decrease_time_end,unit,source_id
subregion,NYIS:ZONE,NYIS:ZONE,NYIS,UTC,8781,818.428,420.0,2024-10-12T19:00,1391.0,2024-07-15T23:00,0.588374,206.0,2024-02-08T20:00,-161.0,2024-11-13T14:00,MW,SRC-EIA-930
subregion,NYIS:ZONF,NYIS:ZONF,NYIS,UTC,8781,1297.525,711.0,2024-04-28T16:00,2365.0,2024-07-10T22:00,0.548637,234.0,2024-10-09T21:00,-233.0,2024-07-16T03:00,MW,SRC-EIA-930
subregion,NYIS:ZONG,NYIS:ZONG,NYIS,UTC,8781,1056.61,498.0,2024-05-11T16:00,2229.0,2024-07-16T22:00,0.474029,273.0,2024-10-09T21:00,-260.0,2024-06-27T02:00,MW,SRC-EIA-930
subregion,NYIS:ZONH,NYIS:ZONH,NYIS,UTC,8781,314.179,172.0,2024-05-04T09:00,648.0,2024-07-16T22:00,0.484845,69.0,2024-08-02T15:00,-96.0,2024-06-27T02:00,MW,SRC-EIA-930
subregion,NYIS:ZONI,NYIS:ZONI,NYIS,UTC,8781,650.984,413.0,2024-04-09T08:00,1331.0,2024-07-16T23:00,0.489094,109.0,2024-05-22T12:00,-111.0,2024-06-27T02:00,MW,SRC-EIA-930
subregion,NYIS:ZONJ,NYIS:ZONJ,NYIS,UTC,8781,5657.607,3743.0,2024-05-12T09:00,10244.0,2024-07-16T22:00,0.552285,610.0,2024-06-20T12:00,-694.0,2024-06-15T00:00,MW,SRC-EIA-930
subregion,NYIS:ZONK,NYIS:ZONK,NYIS,UTC,8781,2253.647,1230.0,2024-03-31T19:00,4935.0,2024-07-16T22:00,0.456666,393.0,2024-03-22T21:00,-371.0,2024-08-04T00:00,MW,SRC-EIA-930
subregion,PJM:AE,PJM:AE,PJM,UTC,8735,1168.562,489.0,2024-04-14T17:00,2613.0,2024-07-15T23:00,0.447211,265.0,2024-04-08T20:00,-244.0,2024-07-17T03:00,MW,SRC-EIA-930
subregion,PJM:AEP,PJM:AEP,PJM,UTC,8735,14939.114,10352.0,2024-09-08T09:00,22318.0,2024-01-17T14:00,0.669375,1475.0,2024-06-22T15:00,-1517.0,2024-08-27T03:00,MW,SRC-EIA-930
subregion,PJM:AP,PJM:AP,PJM,UTC,8735,5633.419,3618.0,2024-10-06T09:00,8992.0,2024-01-22T13:00,0.626492,634.0,2024-07-16T15:00,-624.0,2024-08-01T03:00,MW,SRC-EIA-930
subregion,PJM:ATSI,PJM:ATSI,PJM,UTC,8735,7652.616,5251.0,2024-10-13T07:00,12511.0,2024-06-20T19:00,0.611671,848.0,2024-08-05T15:00,-1257.0,2024-08-06T21:00,MW,SRC-EIA-930
subregion,PJM:BC,PJM:BC,PJM,UTC,8735,3479.378,2168.0,2024-11-02T08:00,6854.0,2024-07-16T22:00,0.507642,450.0,2024-07-14T14:00,-718.0,2024-07-17T03:00,MW,SRC-EIA-930
subregion,PJM:CE,PJM:CE,PJM,UTC,8735,10659.291,7283.0,2024-09-08T10:00,21657.0,2024-08-27T22:00,0.492187,1398.0,2024-06-17T13:00,-2352.0,2024-07-16T04:00,MW,SRC-EIA-930
subregion,PJM:DAY,PJM:DAY,PJM,UTC,8735,1972.875,1217.0,2024-09-08T09:00,3365.0,2024-08-06T22:00,0.586293,227.0,2024-07-26T16:00,-285.0,2024-07-24T03:00,MW,SRC-EIA-930
subregion,PJM:DEOK,PJM:DEOK,PJM,UTC,8735,2996.704,1906.0,2024-03-31T09:00,5163.0,2024-08-28T21:00,0.580419,391.0,2024-11-01T14:00,-497.0,2024-07-14T21:00,MW,SRC-EIA-930
subregion,PJM:DOM,PJM:DOM,PJM,UTC,8735,14198.917,10003.0,2024-04-21T08:00,23220.0,2024-07-16T22:00,0.611495,1369.0,2024-06-22T15:00,-1991.0,2024-01-22T15:00,MW,SRC-EIA-930
subregion,PJM:DPL,PJM:DPL,PJM,UTC,8735,2081.044,1278.0,2024-04-15T08:00,4094.0,2024-07-16T22:00,0.508316,289.0,2024-07-14T14:00,-359.0,2024-03-01T14:00,MW,SRC-EIA-930
