dataset_id,source_id,record_type,model,scenario,scenario_family,geography,geography_code,region_level,year,metric,sector,end_use,accounting_scope,value,unit,value_semantics,source_value,source_unit,source_variable,upstream_status,source_vintage,source_file
DS-NGFS-PHASE5.1,SRC-NGFS-PHASE5.1,scenario,GCAM 6.0 NGFS,Below 2°C,NGFS Phase 5.1,World,World,world,2035,final_electricity_consumption,residential,all_residential,final_energy_electricity; hierarchy=buildings_subsector; do_not_stack_across_hierarchy_levels,11107.392729167,TWh,point,39.986613825,EJ_per_year,Final Energy|Residential and Commercial|Residential|Electricity,conditional_scenario_not_forecast; run_id=109,2026-03-20,ngfs-phase5-world-electricity-demand-2020-2100.json
DS-NGFS-PHASE5.1,SRC-NGFS-PHASE5.1,scenario,GCAM 6.0 NGFS,Below 2°C,NGFS Phase 5.1,World,World,world,2035,final_electricity_consumption,residential_and_commercial,all_buildings,final_energy_electricity; hierarchy=sector_total; do_not_stack_across_hierarchy_levels,20526.047393111,TWh,point,73.893770615,EJ_per_year,Final Energy|Residential and Commercial|Electricity,conditional_scenario_not_forecast; run_id=109,2026-03-20,ngfs-phase5-world-electricity-demand-2020-2100.json
DS-NGFS-PHASE5.1,SRC-NGFS-PHASE5.1,scenario,GCAM 6.0 NGFS,Below 2°C,NGFS Phase 5.1,World,World,world,2035,final_electricity_consumption,total,all_electricity,final_energy_electricity; hierarchy=aggregate_total; do_not_stack_across_hierarchy_levels,41117.404632613,TWh,point,148.022656677,EJ_per_year,Final Energy|Electricity,conditional_scenario_not_forecast; run_id=109,2026-03-20,ngfs-phase5-world-electricity-demand-2020-2100.json
DS-NGFS-PHASE5.1,SRC-NGFS-PHASE5.1,scenario,GCAM 6.0 NGFS,Below 2°C,NGFS Phase 5.1,World,World,world,2035,final_electricity_consumption,transportation,all_transportation,final_energy_electricity; hierarchy=sector_total; do_not_stack_across_hierarchy_levels,3184.057535128,TWh,point,11.462607126,EJ_per_year,Final Energy|Transportation|Electricity,conditional_scenario_not_forecast; run_id=109,2026-03-20,ngfs-phase5-world-electricity-demand-2020-2100.json
DS-NGFS-PHASE5.1,SRC-NGFS-PHASE5.1,scenario,GCAM 6.0 NGFS,Below 2°C,NGFS Phase 5.1,World,World,world,2035,final_electricity_consumption,transportation,freight,final_energy_electricity; hierarchy=transportation_subsector; do_not_stack_across_hierarchy_levels,1096.817847843,TWh,point,3.948544252,EJ_per_year,Final Energy|Transportation|Freight|Electricity,conditional_scenario_not_forecast; run_id=109,2026-03-20,ngfs-phase5-world-electricity-demand-2020-2100.json
DS-NGFS-PHASE5.1,SRC-NGFS-PHASE5.1,scenario,GCAM 6.0 NGFS,Below 2°C,NGFS Phase 5.1,World,World,world,2035,final_electricity_consumption,transportation,passenger,final_energy_electricity; hierarchy=transportation_subsector; do_not_stack_across_hierarchy_levels,2087.239687285,TWh,point,7.514062874,EJ_per_year,Final Energy|Transportation|Passenger|Electricity,conditional_scenario_not_forecast; run_id=109,2026-03-20,ngfs-phase5-world-electricity-demand-2020-2100.json
DS-NGFS-PHASE5.1,SRC-NGFS-PHASE5.1,scenario,GCAM 6.0 NGFS,Below 2°C,NGFS Phase 5.1,World,World,world,2040,final_electricity_consumption,commercial,all_commercial,final_energy_electricity; hierarchy=buildings_subsector; do_not_stack_across_hierarchy_levels,10622.536983917,TWh,point,38.241133142,EJ_per_year,Final Energy|Residential and Commercial|Commercial|Electricity,conditional_scenario_not_forecast; run_id=109,2026-03-20,ngfs-phase5-world-electricity-demand-2020-2100.json
DS-NGFS-PHASE5.1,SRC-NGFS-PHASE5.1,scenario,GCAM 6.0 NGFS,Below 2°C,NGFS Phase 5.1,World,World,world,2040,final_electricity_consumption,industry,all_industry,final_energy_electricity; hierarchy=sector_total; do_not_stack_across_hierarchy_levels,21095.718606933,TWh,point,75.944586985,EJ_per_year,Final Energy|Industry|Electricity,conditional_scenario_not_forecast; run_id=109,2026-03-20,ngfs-phase5-world-electricity-demand-2020-2100.json
DS-NGFS-PHASE5.1,SRC-NGFS-PHASE5.1,scenario,GCAM 6.0 NGFS,Below 2°C,NGFS Phase 5.1,World,World,world,2040,final_electricity_consumption,industry,cement,final_energy_electricity; hierarchy=industry_subsector; do_not_stack_across_hierarchy_levels,337.677430114,TWh,point,1.215638748,EJ_per_year,Final Energy|Industry|Cement|Electricity,conditional_scenario_not_forecast; run_id=109,2026-03-20,ngfs-phase5-world-electricity-demand-2020-2100.json
DS-NGFS-PHASE5.1,SRC-NGFS-PHASE5.1,scenario,GCAM 6.0 NGFS,Below 2°C,NGFS Phase 5.1,World,World,world,2040,final_electricity_consumption,industry,chemicals,final_energy_electricity; hierarchy=industry_subsector; do_not_stack_across_hierarchy_levels,2149.495121833,TWh,point,7.738182439,EJ_per_year,Final Energy|Industry|Chemicals|Electricity,conditional_scenario_not_forecast; run_id=109,2026-03-20,ngfs-phase5-world-electricity-demand-2020-2100.json
